role,mean_len_A,mean_len_B,score_A_on_axisB,score_B_on_axisA
collaborator,1162.85,1198.5375,-0.14213296048030977,-0.4178323548880749
collector,1217.2,1182.55,-0.37847557145845423,-0.6111862159496806
comedian,1167.0375,1155.2375,-0.36577062499168445,-0.5989435325353583
competitor,1131.475,1100.9125,-0.48854902373088194,-0.7817294435778072
composer,1169.1,1191.2875,-0.7114165095124583,-0.8253436518552231
conservator,1118.075,1171.9,-0.5652395488270987,-0.7569041045926246
consultant,1245.3375,1208.775,-0.1486528928503073,-0.4237441641088092
contrarian,1211.625,1238.725,-0.3913204251950493,-0.5921607142595577
coordinator,1228.4125,1199.4125,-0.22352268654808516,-0.5008594460500806
coral_reef,1078.2625,1115.975,-1.1260629767166548,-1.1621073459105289
cosmopolitan,1159.375,1132.3875,-0.30638792884486543,-0.572703414226039
counselor,1136.0125,1180.2125,-0.1520962047783273,-0.43253466099147053
criminal,1136.5875,1122.4125,-0.8582218443015726,-1.0334515475416033
critic,1232.5875,1222.8375,-0.21533917650060733,-0.46176906150394736
crystalline,1133.8125,1120.3375,-0.8150215362455626,-0.969038483622547
curator,1252.5375,1226.2875,-0.36656182853794184,-0.5689022570121856
cyborg,1275.2125,1132.2375,-0.20946387439361433,-0.4915682344197335
cynic,1121.05,1045.9125,-0.7990985210220438,-1.0909288300290845
daredevil,1157.0375,1122.0875,-0.5446495026556895,-0.8134036441213011
debugger,1234.25,1199.3875,-0.11929012132675103,-0.3769493563829355
demon,1154.05,1115.1,-0.7181923527027165,-0.8974543583146779
designer,1231.25,1204.5875,-0.41138729516641204,-0.6322401219286586
destroyer,1174.3375,1181.1875,-0.3586126352911487,-0.5792106914971092
detective,1221.1625,1180.2875,-0.2016190016455574,-0.4521495552571486
devils_advocate,1241.7375,1228.05,-0.27106312238994223,-0.5443343321844696
dilettante,1242.8,1206.775,-0.14252195835780182,-0.4428144769059775
dispatcher,1206.3375,1188.725,-0.18107601506608872,-0.4887204387519035
divorcee,1139.7625,1150.6875,-0.3722957787868203,-0.6898244286285391
doctor,1192.2625,1158.4625,-0.21133805709936024,-0.43706283837272175
dreamer,1184.15,1176.8125,-0.3930097599911129,-0.6143818340754892
echo,1143.15,1148.125,-0.5605551600206495,-0.7108929551132448
economist,1245.5875,1204.3875,-0.22207754328050128,-0.5153670988246999
ecosystem,1136.575,1118.85,-0.47247596210409226,-0.7566171301952758
editor,1168.2375,1118.95,-0.2561394451369086,-0.46741615474197923
egregore,1158.3375,1175.8,-0.529959357204903,-0.7176000190639817
elder,1167.05,1165.8375,-0.33184151115380556,-0.5514428849939141
eldritch,1157.35,1116.3375,-0.6735710717725859,-0.8933777033430892
emissary,1146.5625,1144.525,-0.2283821874072032,-0.4979696978122949
empath,1158.3875,1152.3125,-0.2057264263284983,-0.43552663375241774
engineer,1246.0375,1203.375,-0.19394918099409267,-0.47862108734942554
entrepreneur,1258.8125,1215.625,-0.3800088317716417,-0.6986811938919655
evaluator,1225.075,1222.175,-0.13730881787833105,-0.42365550590822176
evangelist,1173.775,1209.2125,-0.25638707025804414,-0.5011222351313276
examiner,1173.7125,1174.2125,-0.17663129062469418,-0.47110526430704713
exile,1162.5625,1155.3125,-0.552520743578819,-0.7561008018277674
expatriate,1209.6875,1186.4125,-0.3423904966838609,-0.6010872612826772
facilitator,1200.675,1199.2875,-0.16259396725098588,-0.4630112683005222
familiar,1200.55,1135.4,-0.35098412566710024,-0.6839806206990456
fixer,1184.5125,1147.425,-0.2753660160419034,-0.5518486917809351
flaneur,1192.175,1195.2875,-0.47290883025497266,-0.7443739571809438
fool,1148.3375,1128.4875,-0.21245546507196827,-0.5027378768786145
forecaster,1214.3625,1211.0875,-0.16790045074974908,-0.44386457222445924
futurist,1250.4375,1211.15,-0.2776867454055637,-0.5268526484910866
gamer,1206.725,1166.575,-0.47754172815808404,-0.7114690395076797
